"name","city","state","zip"
"Flowers by Staacks","Moline","IL","61265"
"Flower Nook","Midlothian","IL","60445"
"Flowers Stones","Momence","IL","60954"
"Stacey's Floral Boutique","Metropolis","IL","62960"
"Monee Florist and Gifts","Monee","IL","60449"
"Forest of Flowers","Milan","IL","61264"
"Casablanca Florist","Chicago","IL","60630"
"Schaefer Greenhouses","Montgomery","IL","60538"
"Boka Shoppe","Monticello","IL","61856"
"Mary's Flowers Gifts","Mchenry","IL","60050"
"Flower's Are US","Monmouth","IL","61462"
"Floral Designs Gifts","Morris","IL","60450"
"Stylish Stems Inc","Lombard","IL","60148"
"Sacred Botanical Design Studio","Mokena","IL","60448"
"Fox's Flowers Gifts","Marion","IL","62959"
"Floral Designs","Morton","IL","61550"
"Julie's Artistic Rose Inc","Moline","IL","61265"
"Stacie's Petal Shop","Mounds","IL","62964"
"Jolie Fleur Ltd","Chicago","IL","60611"
"Mattoon Flower Shop Greenhouses","Mattoon","IL","61938"
"Flower Nook","Midlothian","IL","60445"
"Becky Huffman Flowers","Millstadt","IL","62260"
"Riverside Flower Inc","Miami","FL","33122"
"McPlants Greenhouse Garden","Metropolis","IL","62960"
"The Blue Violet","Morrison","IL","61270"
"jh Events and Flowers","Mchenry","IL","60050"
"Cabbage Rose Floral","Monticello","IL","61856"
"The Forest of Flowers","Milan","IL","61264"
"Morris Florist and Gifts","Morris","IL","60450"
"Flowers Are US","Monmouth","IL","61462"
"Shamrock Garden Florist Ltd","Lombard","IL","60148"
"Flowers In The Country","Montgomery","IL","60538"
"Gregg Florist","Morton","IL","61550"
"B B Florist","Mounds","IL","62964"
"Greenhouse","Mokena","IL","60448"
"Buds 2 Blooms Floral Gifts","Marion","IL","62959"
"County Market","Mattoon","IL","61938"
"Roses ASAP","Chicago","IL","60632"
"Flowers by Parkside Treasure House","Moline","IL","61265"
"Flowers Betty","Miami","FL","33155"
"Millstadt Greenhouse","Millstadt","IL","62260"
"County Market","Monticello","IL","61856"
"Jan's House of Flowers","Metropolis","IL","62960"
"Manns Floral Shoppe","Morris","IL","60450"
"Feathered Nest Floral Gifts","Moweaqua","IL","62550"
"Wilson Greenhouse Florist","Morrison","IL","61270"
"Global Flowers Gifts","Mchenry","IL","60051"
"County Market","Monmouth","IL","61462"
"Hy-Vee","Milan","IL","61264"
"Hacker's Glenbard Gardens","Lombard","IL","60148"
"Johnson's Floral Greenhouses","Morton","IL","61550"
"Farm Fresh Food Pharmacy","Marion","IL","62959"
"Flowers by Staacks","Moline","IL","61265"
"Paradise Flowers Gifts","Mokena","IL","60448"
"Flowers Larrys","Mulkeytown","IL","62865"
"Brandau K Designs","Morrison","IL","61270"
"Cabbage Rose Floral Market","Monticello","IL","61856"
"Zavala Flower Shop","Chicago","IL","60639"
"Legacy Flowers","Miami","FL","33122"
"Strawberry Plant Boutique","Morris","IL","60450"
"Poppie's Flowers Gifts","Metropolis","IL","62960"
"Cinnamon Lane Flowers Gifts","Murphysboro","IL","62966"
"1-800-FLOWERS.COM","Mundelein","IL","60060"
"Naperville Florist","Naperville","IL","60540"
"Flowers Plus","Nashville","IL","62263"
"Johnson's Floral Greenhouses","Morton","IL","61550"
"Miller's Florist","Moline","IL","61265"
"Fleur Details","Miami","FL","33155"
"The Flower Cottage for Mokena","Mokena","IL","60448"
"Sullivan's Foods","Morrison","IL","61270"
"Fox's Flowers Gifts","Marion","IL","62959"
"Floral Expressions","Nauvoo","IL","62354"
"Les Fleurs","Chicago","IL","60661"
"Flowers By Debbie","Neoga","IL","62447"
"JMB Haute Floral Design","Naperville","IL","60540"
"Southern Blooms","Murphysboro","IL","62966"
"Create A Scene, Inc","Morton","IL","61550"
"A Bouquet to Remember Ltd","Mundelein","IL","60060"
"Cammies Moments In Time","Moline","IL","61265"
"Blues Flowers and More","Miami","FL","33162"
"An English Garden Flowers Gifts","Mokena","IL","60448"
"Vivek Flowers","Naperville","IL","60540"
"Wall's Flower Shop Inc","Chicago","IL","60630"
"Sylvias Flower Gift Shoppe","Nauvoo","IL","62354"
"Ihle Floists Greenhouses","Murphysboro","IL","62966"
"Kinners Spring Time Flowers","Morton","IL","61550"
"Mundelein Florist","Mundelein","IL","60060"
"Petals Plants Florist","Newman","IL","61942"
"Buds N Blossoms","Newton","IL","62448"
"Nokomis Gift Garden Shop","Nokomis","IL","62075"
"Meinke Garden Center","Niles","IL","60714"
"Nauvoo Pharmacy","Nauvoo","IL","62354"
"Ovandos Plants and Flowers Designers Corp","Miami","FL","33180"
"Hy-Vee","Moline","IL","61265"
"Thats Amore Florist Ltd","Chicago","IL","60657"
"Din Floral Creations","Naperville","IL","60540"
"Southern Blooms","Murphysboro","IL","62966"
"Washburn Flowers","Normal","IL","61761"
"Debbie's Floral","Mundelein","IL","60060"
"Interior Floral Design","Northbrook","IL","60062"
"Golf Mill Florist","Niles","IL","60714"
"Blooms Home and Garden Inc","Miami","FL","33186"
"Yera's Lake View Florist","Chicago","IL","60640"
"Naperville Florist","Naperville","IL","60563"
"K'nees Florists","Moline","IL","61265"
"Farm Fresh Food Pharmacy","Murphysboro","IL","62966"
"Flowers For All Seasons, Inc.","Mundelein","IL","60060"
"Cindy's Flower Patch","Oakwood","IL","61858"
"Jeffrey Alans","Normal","IL","61761"
"Kelsa Kreations","Oblong","IL","62449"
"Niles Flower","Niles","IL","60714"
"Northbrook Florist and Gifts","Northbrook","IL","60062"
"Love Scents Flowers","Odin","IL","62870"
"Annettes Flowers Gifts Hallmark Cards","Okawville","IL","62271"
"O'cie Florals","Naperville","IL","60540"
"Montserrat Nunez","Miami","FL","33186"
"Devine Floral Designs","Oglesby","IL","61348"
"Planner-The Bride Bernard's","Chicago","IL","60657"
"Dbc Fulfillment Center Inc","Mundelein","IL","60060"
"Ivy's Cottage","Olney","IL","62450"
"Juliet's Rose","Niles","IL","60714"
"Heavens Creations Floral","Onarga","IL","60955"
"1-800-FLOWERS.COM","Northbrook","IL","60062"
"Annettes","Okawville","IL","62271"
"Kathys Kreations Floral","Oquawka","IL","61469"
"Parkside Treasure House","Orion","IL","61273"
"Floral Events","Naperville","IL","60563"
"The Broken Barn","Orangeville","IL","61060"
"Buehlers Flowers Plus","Olney","IL","62450"
"Flowerville","Niles","IL","60714"
"Metro-Chicago Florist Delivery Co-Op","Chicago","IL","60647"
"Annette's Flowers Gifts Wedding, Special Event Tuxedo Rental","Okawville","IL","62271"
"Donna's Custom Flowers","Mundelein","IL","60060"
"Holiday Home","Northbrook","IL","60062"
"Rocking Horse","Palestine","IL","62451"
"Floral Expressions and Gifts Inc","Oswego","IL","60543"
"Merlin's Greenhouse Flowers","Oregon","IL","61061"
"Blythe Flowers","Ottawa","IL","61350"
"Best Flowers Worldwide","Miami","FL","33155"
"The Flower Basket","Ozark","IL","62972"
"The Enchanted Florist","Orion","IL","61273"
"Accents Flowers Gifts","Chicago","IL","60612"
"A Country Treasure","Pana","IL","62557"
"Olney Florist and Gifts","Olney","IL","62450"
"Forever Green Flowers","Niles","IL","60714"
"DLN Floral Creations","Naperville","IL","60563"
"Brad's Florist","Paris","IL","61944"
"Kennicott Brothers Co","Northbrook","IL","60062"
"Bill's Grove Florist","Palatine","IL","60074"
"The Flower Patch","Oregon","IL","61061"
"Flowers In the Country","Oswego","IL","60543"
"BLOOM! Yoga and Healing Arts Center","Ottawa","IL","61350"
"Cara Mia Inc","Pawnee","IL","62558"
"Roses Flowers","Niles","IL","60714"
"Bella Mia","Naperville","IL","60565"
"A New Leaf Inc","Chicago","IL","60604"
"Junction Garden Center","Pana","IL","62557"
"Weir's Florist","Paris","IL","61944"
"Flower Cart","Paxton","IL","60957"
"Infinity Floral Studio","Oswego","IL","60543"
"Lanas Flowers","Northbrook","IL","60062"
"Olney Greenhouses Flower Shop","Olney","IL","62450"
"Palatine Flowers","Palatine","IL","60074"
"TPM Stems","Ottawa","IL","61350"
"Forget Me Not Floral","Pecatonica","IL","61063"
"Prospect Florist","Peoria","IL","61603"
"North Pekin Florist and Gifts","Pekin","IL","61558"
"Johnson's Greenhouses","Peotone","IL","60468"
"Las Flores De La Carreta","Miami","FL","33155"
"Foxy Floral eBay Hot Spot","Peru","IL","61354"
"1-800-FLOWERS.COM","Niles","IL","60714"
"Memory Lane Florist Crafts","Percy","IL","62272"
"Gardenia Florist","Chicago","IL","60620"
"Blue Dahlia","Naperville","IL","60565"
"Candy's Flowers Gifts","Pana","IL","62557"
"Cindy's Flower Cart","Northbrook","IL","60062"
"The Flower Cart","Paxton","IL","60957"
"Floral Expressions and Gifts Inc","Oswego","IL","60543"
"Small Town Charm Boutiques","Petersburg","IL","62675"
"Flower Patch","Pinckneyville","IL","62274"
"Flower Art Studio","Palatine","IL","60067"
"Valley Interv Pain","Peru","IL","61354"
"Adriana Flowers Gift","Niles","IL","60714"
"Garden Gate Florist Gifts","Percy","IL","62272"
"Schnucks Florist Gifts","Peoria","IL","61614"
"Blumgarten Inc.","Chicago","IL","60607"
"Doraâs House of Flowers","Pittsfield","IL","62363"
"Luna Flowers","Miami","FL","33131"
"Manchester Flowers","Northbrook","IL","60062"
"A Village Flower Shop","Plainfield","IL","60544"
"Flower Island","Pekin","IL","61554"
"Patti's Pretties","Palatine","IL","60067"
"Simply Elegant","Plano","IL","60545"
"Wildflower Florist","Naperville","IL","60565"
"Country Bloomer Florals","Plymouth","IL","62367"
"Garden Treasures","Oswego","IL","60543"
"Roseview Flowers","Petersburg","IL","62675"
"Country Floral","Polo","IL","61064"
"The Flower Bar","Peru","IL","61354"
"Georgette's Flowers","Peoria","IL","61614"
"A New Leaf, Inc.","Chicago","IL","60614"
"Joanna's Floral Creations","Pontiac","IL","61764"
"Ridgewood Gardens Inc.","Niles","IL","60714"
"Dora's House Of Flowers","Pittsfield","IL","62363"
"All America-Phillip's Flowers","Naperville","IL","60563"
"Elena's Flowering Buds","Palatine","IL","60074"
"Plainfield Florist","Plainfield","IL","60544"
"Triple Creek Farm Greenhouse","Petersburg","IL","62675"
"Luna Flower","Miami","FL","33131"
"Treasures Galore Flowers Mr","Pekin","IL","61554"
"Floral Whispers","Plano","IL","60545"
"Geier Florist","Peoria","IL","61604"
"Klockner Pentaplast","Naperville","IL","60540"
"Hy-Vee","Peru","IL","61354"
"County Market","Pittsfield","IL","62363"
"Simply Flowers","Princeton","IL","61356"
"Northbrook Flowers","Northbrook","IL","60062"
"Blooms-A-Latte","Prophetstown","IL","61277"
"Pontiac Greenhouses Florist","Pontiac","IL","61764"
"Green Village Flowers","Plainfield","IL","60586"
"Emotional Bonding","Niles","IL","60714"
"Wellman Florist","Quincy","IL","62301"
"Pinky's Gtfts Flowers","Palatine","IL","60074"
"Preemption Flower Shops","Preemption","IL","61276"
"Blossom Floral Corp","Miami","FL","33147"
"Flowers More","Pittsfield","IL","62363"
"Old Glory","Peru","IL","61354"
"Artistic Flowers","Pekin","IL","61554"
"Flowers By Julia","Princeton","IL","61356"
"Little Luxuries","Naperville","IL","60540"
"Edwards Florist Northbrook","Northbrook","IL","60062"
"Heaven On Earth","Peoria","IL","61615"
"North Suburban Floral Services","Niles","IL","60714"
"Raritan Florist and Gifts","Raritan","IL","61471"
"Pontiac Flower Farm","Pontiac","IL","61764"
"Lux, Leslie","Rantoul","IL","61866"
"Szarotka Flowers","Chicago","IL","60618"
"Naperville Florist","Plainfield","IL","60586"
"Frericks Gardens Florist Gifts","Quincy","IL","62305"
"Linda's Floral Design","Miami","FL","33155"
"Bloomers","Pittsfield","IL","62363"
"Artistic Flowers","Pekin","IL","61554"
"Trudy's Flowers","Naperville","IL","60564"
"Blooms On Elm","Princeton","IL","61356"
"Jeffrey Alans","Peoria","IL","61614"
"Esther Flowers of Northbrook, INC","Northbrook","IL","60062"
"County Market","Pontiac","IL","61764"
"A Gentle Wind","Chicago","IL","60645"
"Wellman Florist","Quincy","IL","62305"
"Queens Flowers","Miami","FL","33122"
"Janani Indian Grocery","Naperville","IL","60564"
"Just Because Flowers Gifts","Riverton","IL","62561"
"The Greenhouse Flower Shoppe","Pekin","IL","61554"
"Hy-Vee","Peoria","IL","61615"
"Shamrock Gardens of Riverside","Riverside","IL","60546"
"Reds Garden Center Fireplace Logs","Northbrook","IL","60062"
"Mudd Fleur","Chicago","IL","60612"
"Mourning Flowers Inc","Miami","FL","33143"
"Petals Co","Rochester","IL","62563"
"Colonial Flower Shoppe","Rochelle","IL","61068"
"Sparks Floral Co","Robinson","IL","62454"
"Adam Florist","Quincy","IL","62301"
"Pink Carnation Florist Gift","Riverside","IL","60546"
"Floral Expressions","Peoria","IL","61604"
"The Wickerworks Inc","Naperville","IL","60540"
"Flowers by Florence","Pekin","IL","61554"
"Rockton Floral","Rockton","IL","61072"
"Creative Designs","Quincy","IL","62305"
"Blue Sky International Group","Miami","FL","33155"
"Mitchell Florist Greenhouses","Robinson","IL","62454"
"Flowers By Liz","Chicago","IL","60638"
"Price's Country Gardens","Roodhouse","IL","62082"
"Roseville Flower Gifts","Roseville","IL","61473"
"Vintage Petal","Roscoe","IL","61073"
"Just Because Flowers Gifts","Romeoville","IL","60446"
"Artisti Flowers","Roselle","IL","60172"
"Culbert Flowers Gifts-Molly","Rossville","IL","60963"
"Funke Flowers N' More","Rushville","IL","62681"
"Flower Basket","Rosiclare","IL","62982"
"Ollie Flower Shop","Naperville","IL","60563"
"Tj's Flowers Gifts","Royalton","IL","62983"
"Artistic Flowers","Pekin","IL","61554"
"Vintage Petal","Rockton","IL","61072"
"GP Miller Floral","Peoria","IL","61614"
"Casa Trail Flowers","Miami","FL","33174"
"Wellman Florist","Quincy","IL","62305"
"Flowers Distributing Inc","Roxana","IL","62084"
"Cherry Blossom Florist","Rockford","IL","61103"
"Your Flower Basket","Robinson","IL","62454"
"Bud's Flowers","Chicago","IL","60629"
"Special Gifts and Floral","Rushville","IL","62681"
"Kaleidoscope Of Floral Design","Roselle","IL","60172"
"Accents By Design","Naperville","IL","60564"
"Ambrose Greenhouse","Roscoe","IL","61073"
"Turnberry Florist","Miami","FL","33162"
"Heights Flowers-Plant Farm","Pekin","IL","61554"
"Enchanted Florist Boutique","Peoria","IL","61615"
"Potter Vaughn","Quincy","IL","62301"
"Salem Place Flowers Gifts","Salem","IL","62881"
"Farm Fresh Food Pharmacy","Roxana","IL","62084"
"Balloons Flowers By Haley","Rockford","IL","61114"
"Petals N Krafts","Rushville","IL","62681"
"Bj's Flowers Gifts Inc","Roselle","IL","60172"
"Flowers By Sandra Inc","Miami","FL","33180"
"Bonally's Yellow Rose LTD","Sandoval","IL","62882"
"Schnucks Florists Gifts","Pekin","IL","61554"
"Harms Florist","Peoria","IL","61604"
"DLN Floral Creations","Naperville","IL","60563"
"The Flower Peddler","Sandwich","IL","60548"
"River Valley Designs","Savanna","IL","61074"
"Lavish Floral Events","Quincy","IL","62301"
"Schnucks Florists Gifts","Savoy","IL","61874"
"Blooming Creations","Salem","IL","62881"
"Pinecone Primitives Floral Shoppe","Rushville","IL","62681"
"Roselle Flowers","Roselle","IL","60172"
"Rashawna Mackey Flowers","Miami","FL","33127"
"Seatonville Greenhouse","Seatonville","IL","61359"
"Deptula Florist Gifts","Schaumburg","IL","60193"
"Broadway Florist","Rockford","IL","61107"
"Sandwich Floral Shop","Sandwich","IL","60548"
"Floral Gems","Seneca","IL","61360"
"Celidan Creations Inc","Naperville","IL","60540"
"River Designs Floral Barb Tracey","Savanna","IL","61074"
"Sandpiper","Shawneetown","IL","62984"
"Heaven on Earth","Peoria","IL","61602"
"Farm Fresh Food Pharmacy","Salem","IL","62881"
"English Hedgerow","Seymour","IL","61875"
"M P Art Flowers","Roselle","IL","60172"
"County Market","Quincy","IL","62305"
"Mane Designs","Sesser","IL","62884"
"In Bloom","Shabbona","IL","60550"
"DK Boutique Flowers Gifts","Rushville","IL","62681"
"Flowers Preserved","Shannon","IL","61078"
"Yera's Lake View Florist","Chicago","IL","60640"
"Blooming Flowers","Miami","FL","33130"
"Town Country Gardens","Schaumburg","IL","60194"
"Crimson Ridge","Rockford","IL","61107"
"Roselle Flowers","Roselle","IL","60172"
"C I D Floral","Sherman","IL","62684"
"Rone Paula","Sesser","IL","62884"
"Paradise Flowers Gifts","Salem","IL","62881"
"B B Floral-N-Gifts","Shipman","IL","62685"
"Methodist-Flower Shop","Peoria","IL","61604"
"Hy-Vee","Quincy","IL","62301"
"Grammy's West Side Floral","Shelbyville","IL","62565"
"Lakeside Shops","Sandwich","IL","60548"
"Flowers Preserved","Shannon","IL","61078"
"Kati Flowers","Shabbona","IL","60550"
"So Dear to Pat's Heart Floral Gifts","Shorewood","IL","60404"
"Sassy Stems Floral Gift Boutique","Savanna","IL","61074"
"Aberdeen's Wedding Florist","Schaumburg","IL","60173"
"Mela Flowers","Chicago","IL","60634"
"Farm Exports","Miami","FL","33131"
"Linda Wolke Floral Shop","Sigel","IL","62462"
"Paula's Pretty Plants","Sesser","IL","62884"
"Johnson Floral Gift","Sandwich","IL","60548"
"Flourish Flower Company","Sherman","IL","62684"
"Bj's Flowers","Roselle","IL","60172"
"O'Fallon's Fine Flowers","Rockford","IL","61107"
"Jim's Formal Wear","Salem","IL","62881"
"Enchanted Florist Boutique","Peoria","IL","61615"
"Marge's Flowers","Skokie","IL","60077"
"Holtschlag Florist","Quincy","IL","62301"
"Julia's Floral Gifts","Silvis","IL","61282"
"Exquisite Blooms","Shorewood","IL","60404"
"Jenny's Flowers Inc","Miami","FL","33138"
"Dutton Bows","Shabbona","IL","60550"
"Late Bloomer On Main","Shelbyville","IL","62565"
"Country Peddler Floral Gift","Savanna","IL","61074"
"Flower Show of Schaumburg","Schaumburg","IL","60194"
"Gilded Lily","Smithton","IL","62285"
"Whitledge Flowers Inc","Peoria","IL","61615"
"County Market","Sherman","IL","62684"
"Al-Mar the Florist","Rockford","IL","61102"
"Fred's Greenhouse Nursery","Sorento","IL","62086"
"Frerick's Plants Imports","Quincy","IL","62305"
"County Market","Shelbyville","IL","62565"
"Terijeans Florist","Sparta","IL","62286"
"Great River Garden Center Flower Shop","Savanna","IL","61074"
"Florence and Gram Florals","Skokie","IL","60076"
"Exquisite Floral Designs","Chicago","IL","60653"
"Fleur De Lis Designs","Miami","FL","33144"
"Hy-Vee","Silvis","IL","61282"
"Flowers Cruises","Schaumburg","IL","60194"
"Harms Florist","Peoria","IL","61603"
"Pleasant Nursery Inc","Springfield","IL","62711"
"Brick House Florist Gifts","Staunton","IL","62088"
"A Cut Above Florist","Rockford","IL","61108"
"Personally I Do","Chicago","IL","60642"
"Flowers By Diane","Schaumburg","IL","60193"
"Skokie Florist and Gifts","Skokie","IL","60077"
"Deysi's Flowers","Miami","FL","33173"
"Steger Flower Shop","Steger","IL","60475"
"Creations Weddings Florals","Stewardson","IL","62463"
"Lundstrom Florist","Sterling","IL","61081"
"Stockton Floral Gifts","Stockton","IL","61085"
"Sterling Flower Shoppe","Peoria","IL","61615"
"Flowers By Kathy - Springfield","Springfield","IL","62702"
"Firnhaber Florist","Staunton","IL","62088"
"Urban Flowers Chicago","Chicago","IL","60657"
"Vivek Flowers","Schaumburg","IL","60195"
"Greenhouse Group","Skokie","IL","60077"
"My Little Flower Shop","Rockford","IL","61107"
"Bygones Buds","Stronghurst","IL","61480"
"Streamwood Florist","Streamwood","IL","60107"
"Ray's Quality Greenhouse","Steger","IL","60475"
"Flowers Plus","Streator","IL","61364"
"Artistic Creations Flowers Gifts","Sullivan","IL","61951"
"Blue Freedom Farm Market Inc","Sterling","IL","61081"
"Sterling Flower Shoppe","Peoria","IL","61604"
"Beautifully Berkeley","Stockton","IL","61085"
"Carol's Flowers","Tamaroa","IL","62888"
"The Flower Connection","Springfield","IL","62702"
"Virginia Wolff Inc","Chicago","IL","60630"
"Skokie Florist","Skokie","IL","60076"
"County Market","Sterling","IL","61081"
"Stodola Flowers","Schaumburg","IL","60193"
"Ann's Flower","Taylorville","IL","62568"
"Sun Flower","Miami","FL","33156"
"Daisy Flowers","Streamwood","IL","60107"
"The Flower Pot Floral Boutique","Sullivan","IL","61951"
"Stems Floral Design","Rockford","IL","61109"
"John Joe Florists","Streator","IL","61364"
"Mccormicks Florals by Tami","Tampico","IL","61283"
"Sycamore Florist and Gifts","Sycamore","IL","60178"
"Ethiel's Bibles, Books, Gifts, Flowers Much More","Peoria","IL","61605"
"Main Street Florist","Taylorville","IL","62568"
"Poplar Creek Floral","Schaumburg","IL","60194"
"Candy Bouquet","Sterling","IL","61081"
"Enchanted Florist","Springfield","IL","62704"
"Ideal Gifts Flowers","Skokie","IL","60076"
"Vased Flowers","Chicago","IL","60647"
"Matt's Greenhouse","Streator","IL","61364"
"Rockford Florist and Gifts","Rockford","IL","61104"
"Robert's Greenhouse Florists","Toledo","IL","62468"
"S K Flowers","Streamwood","IL","60107"
"Costin Steve Shirley","Miami","FL","33180"
"Glorys Flowers","Schaumburg","IL","60173"
"Kar-Fre Flowers","Sycamore","IL","60178"
"County Market","Tilton","IL","61833"
"A Classic Bouquet","Taylorville","IL","62568"
"Heights Flowers","Peoria","IL","61614"
"Marys Flowers","Skokie","IL","60076"
"Fridayz Flower Shop","Springfield","IL","62704"
"Behrz Bloomz","Sterling","IL","61081"
"Prentiss","Chicago","IL","60644"
"Trenton Floral","Trenton","IL","62293"
"Schnucks Florist Gifts","Rockford","IL","61108"
"Abby Flowers","Miami","FL","33130"
"Hy-Vee","Sycamore","IL","60178"
"Flower Palace Gifts","Streamwood","IL","60107"
"Main Street Florist","Taylorville","IL","62568"
"Iridescence Flowers Gifts","Schaumburg","IL","60173"
"Grimm Gorly Too","Troy","IL","62294"
"Schepke's Corner Market","Peoria","IL","61605"
"Poplar Creek Floral","Union","IL","60180"
"Randolph Floral Design Ltd","Chicago","IL","60608"
"Luxe Floral","Springfield","IL","62711"
"Petals Plants Florist","Tuscola","IL","61953"
"Enders Flowers","Rockford","IL","61107"
"Fresh Flowers Blooms","Urbana","IL","61801"
"Something Special Florist","Vandalia","IL","62471"
"Eden Florist","Schaumburg","IL","60193"
"Always Flowers Inc","Miami","FL","33137"
"The Wooden Flower","Taylorville","IL","62568"
"Beautiful Roses Inc","Vergennes","IL","62994"
"Knollaire Flowers","Peoria","IL","61614"
"Four Seasons Flowers Gifts","Troy","IL","62294"
"Krokus Flowers Gifts","Chicago","IL","60632"
"True Colors Floral","Springfield","IL","62701"
"Granby's Greenhouse","Verona","IL","60479"
"Terra Bella Floral Boutique and Photography","Rockford","IL","61108"
"A Bloom Above Beyond","Tuscola","IL","61953"
"Direct Flowers","Miami","FL","33122"
"Schnucks Florist Gifts","Urbana","IL","61802"
"This N That Flowers Gift Shoppe","Vienna","IL","62995"
"Monica's Flowers Gifts","Virden","IL","62690"
"Viola Flowers","Viola","IL","61486"
"Tiffany's Vintage Style","Vandalia","IL","62471"
"Chicagoflowersandgifts.Com","Schaumburg","IL","60193"
"Walnut House Florist","Walnut","IL","61376"
"Green Plantscapes","Peoria","IL","61603"
"Joy Comes In the Morning","Virginia","IL","62691"
"True Colors Floral","Springfield","IL","62704"
"The Secret Garden","Vienna","IL","62995"
"Terra Florist","Rockford","IL","61108"
"The Posh Posie Petaler","Wadsworth","IL","60083"
"A Bloom Above and Beyond","Tuscola","IL","61953"
"New Town Flowers","Urbana","IL","61801"
"the Wildflower Patch","Virden","IL","62690"
"Exotic Blooms","Miami","FL","33166"
"The Turning Leaf","Vandalia","IL","62471"
"Fleurtatious Inc","Schaumburg","IL","60173"
"Garden of Flowers","Warrenville","IL","60555"
"Walnut House","Walnut","IL","61376"
"Flowers By Su","Warren","IL","61087"
"Bloomin' Diehl's Floral Boutique","Waterloo","IL","62298"
"Hillside-Chatham Florist Inc","Chicago","IL","60655"
"Flowers by Haley","Rockford","IL","61107"
"Flower Shak","Watseka","IL","60970"
"The Secret Garden","Vienna","IL","62995"
"Blossoms","Wataga","IL","61488"
"Flowers by Kathy","Springfield","IL","62703"
"Flowers Inc","Virden","IL","62690"
"Shops of Schaumburg","Schaumburg","IL","60194"
"Unique Flowers","Miami","FL","33155"
"Tiffany's Vintage Style","Vandalia","IL","62471"
"Le Fleur Floral Design Evnts","Washington","IL","61571"
"Blossom Basket Florist","Urbana","IL","61802"
"St. Charles Florist Boutique","Wasco","IL","60183"
"Country Rose Petals","Waverly","IL","62692"
"Details in Bloom","Chicago","IL","60613"
"Robin's Nest","Walnut","IL","61376"
"Garden Gate Floral","Watseka","IL","60970"
"Pierce Florist","Waukegan","IL","60085"
"Annie's Flowers","Schaumburg","IL","60194"
"Beyond the Garden","Wauconda","IL","60084"
"Essence Of Spring","Rockford","IL","61101"
"Sunvine Florist Gifts","Waterloo","IL","62298"
"County Market","Vandalia","IL","62471"
"Your Flower Shop","Virden","IL","62690"
"Jaydenf Floral Shop","Springfield","IL","62703"
"F T D Auth Florist","Miami","FL","33130"
"Bell E","Washington","IL","61571"
"Gardens Gatherings","Wasco","IL","60183"
"Baskets of Goodies Floral","Waverly","IL","62692"
"Christine Noelle Design","Chicago","IL","60610"
"Larsen Florist","Waukegan","IL","60085"
"Heaven's Design Floral","Watseka","IL","60970"
"Tiger Lily Flower Gift Shop","Vandalia","IL","62471"
"Rose Garden Florist","Schaumburg","IL","60195"
"Waldow's","Rockford","IL","61107"
"P.S. Flowers Balloons","Wauconda","IL","60084"
"Phillips Flowers Gifts","Westmont","IL","60559"
"Friday'z Flower Shop","Springfield","IL","62704"
"Bountiful Blossoms Florals Gifts","Waterloo","IL","62298"
"Brickell Florist Orchid Services in Miami","Miami","FL","33131"
"Philliip's Flowers Gifts","Wheaton","IL","60189"
"Washington Greenhouse","Washington","IL","61571"
"Ashland Addison Florist","Westchester","IL","60154"
"All About Flowers","Waverly","IL","62692"
"Yaneth's Flower Shop","Waukegan","IL","60085"
"Veni Flowers Gifts","Schaumburg","IL","60193"
"Rainbow Flowers","Chicago","IL","60657"
"Jean's Flower Shop","Springfield","IL","62703"
"Stems Floral And More","Rockford","IL","61108"
"Sensational Blooms Buds","Willowbrook","IL","60527"
"Jane's Blue Iris LTD","Westmont","IL","60559"
"Wheeling Flowers","Wheeling","IL","60090"
"Diehl Florist","Waterloo","IL","62298"
"Morning Glory Flower Shop","Wilmette","IL","60091"
"Millefleurs","Miami","FL","33137"
"Fabulous Flowers And Decorating","Winchester","IL","62694"
"Andrew's Garden","Wheaton","IL","60187"
"Winfield Flower Shoppe","Winfield","IL","60190"
"Hlavacek Victor Florist And Greenhouses","Winnetka","IL","60093"
"1-800-FLOWERS.COM","Westchester","IL","60154"
"Flower Loft","Wilmington","IL","60481"
"Garden Arts","Winnebago","IL","61088"
"Blossom Boom","Waukegan","IL","60085"
"Simply Flowers","Wilmette","IL","60091"
"C C Trading","Springfield","IL","62704"
"Tony's Fresh Market","Schaumburg","IL","60193"
"Wheeling Flowers by Debbie","Wheeling","IL","60090"
"Treasure Shop Florist","Rockford","IL","61108"
"Bella Flora Home Service Inc","Westmont","IL","60559"
"Fabulous Flowers Decorating","Winchester","IL","62694"
"Sinks Salon","Chicago","IL","60622"
"Lottus Floral Design","Miami","FL","33143"
"P S Flowers","Wheaton","IL","60187"
"Carriage Flowers West","Westchester","IL","60154"
"Shamrock Garden of Winfield","Winfield","IL","60190"
"Edwards Florist","Winnetka","IL","60093"
"The Blossom Box","Witt","IL","62094"
"Woodstock Florist","Woodstock","IL","60098"
"Country Squire Flowers","Worth","IL","60482"
"Great Bouquet","Woodridge","IL","60517"
"Flowers by Geo","Wilmette","IL","60091"
"Kennicott Bros Co","Waukegan","IL","60085"
"Adam's Flowers Shop","Schaumburg","IL","60193"
"Virgos Productions Events","Wheeling","IL","60090"
"Connies Country Greenhouse","Springfield","IL","62702"
"A Few of My Favorite Things Flower Gift Shop","Wyoming","IL","61491"
"All Amrca-Phillips FLWR SP Inc","Westmont","IL","60559"
