"name","city","state","zip"
"Barton's Greenhouse Nursery","Alabaster","AL","35007"
"Maryann's Florist","Andalusia","AL","36420"
"The Flower Market","Albertville","AL","35950"
"The Petal Pusher Florist Gifts","Ashford","AL","36312"
"Busy B Flower And Gift Shop","Arley","AL","35541"
"Ann's Flowers Gifts Jewelry Nursery","Ashland","AL","36251"
"Check It Out Balloons Flowers","Auburn","AL","36830"
"Harvey Martin","Attalla","AL","35954"
"House of Flowers","Addison","AL","35540"
"Aline's Flower Shop","Aliceville","AL","35442"
"Vickie's Floral Creations","Athens","AL","35611"
"Jackie's Floral Gallery","Anniston","AL","36207"
"Roses 670","Adamsville","AL","35005"
"How Eventful, LLC","Ashville","AL","35953"
"Flowerz N More","Alabaster","AL","35007"
"Riggins Flowers","Arab","AL","35016"
"Silver Rabbit Flowers Gifts","Albertville","AL","35951"
"Alan Cotton's Florist","Andalusia","AL","36420"
"Arctic Blossoms","Anchorage","AK","99508"
"Southern Daisy Flower Boutique","Bessemer","AL","35023"
"Bloomers Florists Gifts","Berry","AL","35546"
"The Flower Store","Auburn","AL","36830"
"Ferguson Greenhouses","Attalla","AL","35954"
"J G Sales Florist","Athens","AL","35611"
"Evans Flower Shop Gifts","Anniston","AL","36201"
"Bolin-Reeves Florist Inc","Birmingham","AL","35211"
"Boaz Florist Antiques","Boaz","AL","35957"
"Blountsville Florist","Blountsville","AL","35031"
"Martin Flowers Gifts","Attalla","AL","35954"
"Ann's Flowers","Bessemer","AL","35020"
"Perfect Petals","Berry","AL","35546"
"Flowers by Monet","Anniston","AL","36201"
"J G Sales Florist","Athens","AL","35611"
"Godwin's Florist","Atmore","AL","36502"
"Candy Bouquet","Wasilla","AK","99654"
"Flower Exchange","Arab","AL","35016"
"Magnolia Place on Main Inc","Brantley","AL","36009"
"Village Floral Shop","Auburn","AL","36830"
"The Ritz Florist","Birmingham","AL","35242"
"Bama Florist","Bridgeport","AL","35740"
"Bloomers Florist Gifts","Berry","AL","35546"
"Herrington's the Florist Inc","Brewton","AL","36426"
"A J Flower Shoppe","Bryant","AL","35958"
"Open Window Flowers","Bessemer","AL","35022"
"Alexander's Florist Gifts","Boaz","AL","35957"
"Flowers Distributing Company of North Alabama","Anniston","AL","36206"
"Brundidge Florist","Brundidge","AL","36010"
"Duggers Florist","Athens","AL","35611"
"Margaret's Nursery Flower Shop","Butler","AL","36904"
"Forget-Me-Knot Florist","Brookwood","AL","35444"
"Southern Stems","Atmore","AL","36502"
"The Old Greenhouse","Arab","AL","35016"
"Auburn Flowers Gift","Auburn","AL","36831"
"Flowers By Louise Inc","Wasilla","AK","99654"
"Le Fleur","Calera","AL","35040"
"Jackson's Flowers Things","Brewton","AL","36426"
"Martin Flowers and Gifts","Boaz","AL","35956"
"Main Street Florist","Birmingham","AL","35242"
"A Floral Sensation, Inc.","Bessemer","AL","35023"
"Albritton's Florist Gifts","Camden","AL","36726"
"Dessert Menu","Anniston","AL","36207"
"Atmore Flower Shop","Atmore","AL","36502"
"Bama Florists","Brookwood","AL","35444"
"Nip Tuck Florist","Athens","AL","35611"
"Hollyhock Gallery","Auburn","AL","36830"
"Scentsations Floral Gifts","Wasilla","AK","99654"
"Beard's Florist","Butler","AL","36904"
"Mountain Brook Flower Shop","Birmingham","AL","35223"
"Boaz Florist","Boaz","AL","35957"
"Brewton's Village Flower Shop","Brewton","AL","36426"
"Ermas Flower Shop","Camden","AL","36726"
"Linda's Florist","Calera","AL","35040"
"Southern Posies","Cecil","AL","36013"
"Petal Pusher","Atmore","AL","36502"
"Charming Fancy Design","Anniston","AL","36201"
"Athens Pharmacy","Athens","AL","35611"
"1-800-FLOWERS.COM","Bessemer","AL","35020"
"Betty's Flowers","Centreville","AL","35042"
"Cherokee Flowers Boutique","Cherokee","AL","35616"
"The Lily Pad","Centre","AL","35960"
"Chatom Florist Gifts","Chatom","AL","36518"
"Kimies Floral","Wasilla","AK","99623"
"Forget Me Not Flowers Gifts","Childersburg","AL","35044"
"Petals To Piglets","Chelsea","AL","35043"
"Pinedale Gardens","Clanton","AL","35045"
"Fun Fancy","Auburn","AL","36830"
"Flowers Eula","Camden","AL","36726"
"Bloom","Birmingham","AL","35205"
"Gaines Florist","Boaz","AL","35957"
"Jeanna's Flower Shop","Citronelle","AL","36522"
"Petals and Prayers","Chunchula","AL","36521"
"Changing Seasons","Brewton","AL","36426"
"Crossroads Florists Gifts","Cleveland","AL","35049"
"Heavenly Host of Angels","Anniston","AL","36207"
"Lacole Florist","Bessemer","AL","35023"
"Lazy Dazy Florist Gifts","Chatom","AL","36518"
"Lakesway Greenhouse","Wasilla","AK","99623"
"Mylord's Floral","Anchorage","AK","99518"
"Atmore Flower Shop","Atmore","AL","36502"
"Enchanted Florist","Athens","AL","35611"
"The Lily Pad","Centre","AL","35960"
"Cahaba Uptown Flowers Gifts","Centreville","AL","35042"
"Auburn Plant Leasers","Auburn","AL","36832"
"Jeanna's Flower Shop","Citronelle","AL","36522"
"The Cahaba Lily Florist","Birmingham","AL","35210"
"Clanton Florist","Clanton","AL","35045"
"Conservator Mary Weens by Lynda Flowers","Columbia","AL","36319"
"Flower Outlet","Boaz","AL","35957"
"Changing Seasons","Brewton","AL","36426"
"Bee Blessed Silk Gifts","Cleveland","AL","35049"
"Don's Flower Shop","Bessemer","AL","35023"
"Balloon Express Flowers Gifts","Athens","AL","35611"
"Main Street Florist","Columbiana","AL","35051"
"Flower Designs by Ken","Centreville","AL","35042"
"Youngs Plant Farm","Auburn","AL","36831"
"Centre Florist","Centre","AL","35960"
"Audreys Flowers Gifts","Citronelle","AL","36522"
"Flowers For the Moment","Anchorage","AK","99508"
"Lloyd's Flowers Gifts","Anniston","AL","36201"
"Wildflower Designs","Birmingham","AL","35233"
"Hilltop Flowers","Cordova","AL","35550"
"Collinsville Florist","Collinsville","AL","35961"
"Everyday Flowers","Clanton","AL","35045"
"Country Charms","Atmore","AL","36502"
"Trees N Trends Inc","Boaz","AL","35957"
"J G Variety","Athens","AL","35611"
"Blackwood Crossing Greenhouse","Cleveland","AL","35049"
"Loretta's Buds","Brewton","AL","36426"
"Crowder, Don H","Bessemer","AL","35023"
"Citronelle Florist and Gifts","Citronelle","AL","36522"
"Flowersmith's","Auburn","AL","36830"
"Cahaba Flowers","Centreville","AL","35042"
"D D","Anniston","AL","36201"
"Nortons Florist","Birmingham","AL","35233"
"Flowers By June","Anchorage","AK","99504"
"Gail's Florist","Columbiana","AL","35051"
"Pearson's Place Flowers Gifts","Dadeville","AL","36853"
"Hilltop Flowers","Cordova","AL","35550"
"Millie's Flowers","Danville","AL","35619"
"Memory Garden Flowers Tuxedo","Centre","AL","35960"
"Pack's Nursery Sales Outlet","Boaz","AL","35957"
"Clanton Produce and Flowers","Clanton","AL","35045"
"Cullman Florist","Cullman","AL","35055"
"Coley Petals Parties","Atmore","AL","36502"
"Betty's Flowers","Centreville","AL","35042"
"Windsor Florist","Daphne","AL","36526"
"Added Touch Flowers","Bessemer","AL","35020"
"Natural Decorations, Inc.","Brewton","AL","36426"
"Faithful Flowers Boutique and Gifts","Daleville","AL","36322"
"Lakays Flowers Gifts","Dadeville","AL","36853"
"Auburn Flowers Gifts","Auburn","AL","36832"
"Birmingham Florist and Gifts","Birmingham","AL","35233"
"Graveside Floral Expressions","Deatsville","AL","36022"
"The Flower Pot","Cordova","AL","35550"
"Mims House of Flowers","Clanton","AL","35045"
"Lindsey's Florist Gifts","Demopolis","AL","36732"
"Hosanna Florist","Cullman","AL","35057"
"Mary Burke Florist","Decatur","AL","35601"
"The Potting Shed","Auburn","AL","36830"
"Ashley's Flowers Gifts","Centreville","AL","35042"
"Floral Delights","Daleville","AL","36322"
"Norton's Florist","Birmingham","AL","35233"
"Putnan Florist","Bessemer","AL","35023"
"Elegant Fantastic","Daphne","AL","36526"
"Vintage Garden","Clanton","AL","35045"
"Flowers By Judy","Dora","AL","35062"
"GREENcare llc","Demopolis","AL","36732"
"Alaska Flower Shop","Anchorage","AK","99507"
"The Plant Lady Nursery","Duncanville","AL","35456"
"Marys Flower Market","Cullman","AL","35055"
"Buds 'N Blossoms West Florist","Dothan","AL","36305"
"D K Growers","Auburn","AL","36879"
"Simpson's Florist","Decatur","AL","35601"
"Mable's Flower Shop","Bessemer","AL","35020"
"Fannie's Flowers Gifts","Eclectic","AL","36024"
"Cahaba Flowers","Centreville","AL","35042"
"Flowers Etc","Daphne","AL","36526"
"Flowers by Donna","Dora","AL","35062"
"Simply Flowers and Gifts","Birmingham","AL","35205"
"Bradley Florists Gift","Elba","AL","36323"
"Debbie's Creations","Eastaboga","AL","36260"
"Bouquets Baskets Florists","Elberta","AL","36530"
"Johnson Greenhouses","Duncanville","AL","35456"
"Bravissima Napua","Anchorage","AK","99503"
"Honeymoon Florist","Decatur","AL","35603"
"Buds Blossoms","Dothan","AL","36301"
"Kimberlee's Flowers","Enterprise","AL","36330"
"Gale's Flower House","Eufaula","AL","36027"
"Fannie's Flowers Gifts","Eclectic","AL","36024"
"Jaa Kats Gifts More","Bessemer","AL","35020"
"Ashleys Cahaba Flowers","Centreville","AL","35042"
"Water Valley Florist","Cullman","AL","35057"
"Elba Florist Gift","Elba","AL","36323"
"Wildflowers Designs","Birmingham","AL","35223"
"McLee Floral Arrangements","Eutaw","AL","35462"
"Bouquets Baskets Florists","Elberta","AL","36530"
"McBride's Florist","Decatur","AL","35601"
"Flowers By Vanessa","Centreville","AL","35042"
"Southern Veranda Flowers Gifts","Fairhope","AL","36532"
"Schaub's Flowers Gifts","Eufaula","AL","36027"
"A Simply Southern Flourist","Enterprise","AL","36330"
"A Burst of Sunshine Floral and Gifts","Eclectic","AL","36024"
"Wellsville Florist and Gift Baskets","Birmingham","AL","35204"
"Flowers Medical Group-Elba","Elba","AL","36323"
"Unity Flower Gift Shop","Bessemer","AL","35020"
"Majestic Memorials Florists","Fairfield","AL","35064"
"Flower Store","Cullman","AL","35057"
"Beauchamp Ralph","Elberta","AL","36530"
"Moore's Flowers Gifts","Fayette","AL","35555"
"Apple's Florist Garden Center","Falkville","AL","35622"
"Womack Florist","Dothan","AL","36303"
"Dorothy's House of Flowers","Florala","AL","36442"
"Greenhill Florist Gift Shop","Florence","AL","35634"
"Caphey","Decatur","AL","35603"
"Baskets N Bows","Foley","AL","36535"
"Tri-City Florist","Flomaton","AL","36441"
"Flower Hut The","Eufaula","AL","36027"
"A Simply Southern Flourist","Enterprise","AL","36330"
"Tiskets Tiskets Baskets","Fayette","AL","35555"
"Paisley's Petals Florist","Elba","AL","36323"
"Petals Of Love","Florala","AL","36442"
"Abby Oates Floral","Dothan","AL","36301"
"Kaleidoscope Florist Designs","Florence","AL","35630"
"Bagley's Florist","Fairfield","AL","35064"
"Petal Pushers Flowers and Gifts","Foley","AL","36535"
"Mary's Flower Market","Cullman","AL","35055"
"Flower Nation","Birmingham","AL","35211"
"Elaine's Hometown Florist","Flomaton","AL","36441"
"Wildflowers","Fairhope","AL","36532"
"Cotton Kudzu","Eufaula","AL","36027"
"Wildflowers Florist and Gifts","Elba","AL","36323"
"Fultondale Flower Gift Shop","Fultondale","AL","35068"
"J Ross Inc","Decatur","AL","35601"
"Ivywood Florist","Enterprise","AL","36330"
"Dana's Flowers","Fayette","AL","35555"
"The Secret Garden Flowers Gifts","Gardendale","AL","35071"
"Classy Designs","Geneva","AL","36340"
"The Trendy Tulip","Florala","AL","36442"
"Georgiana Flowers Gift Shop","Georgiana","AL","36033"
"Will And Dee's Florist","Florence","AL","35630"
"Ideal Flowers by the River","Gadsden","AL","35901"
"Sprout Florist","Birmingham","AL","35209"
"Fairview Florist","Cullman","AL","35055"
"Shiloh Garden Ctr Florist","Fyffe","AL","35971"
"Lille's Flower Shop Flower House","Eufaula","AL","36027"
"Seaside Florist","Foley","AL","36535"
"Geraldine Florist","Geraldine","AL","35974"
